object,x,target,pred_init,pred
Object B,27,-0.5878381147,-0.7257480703,-0.4354488422
Object B,28,-0.5640371622,-0.6551436629,-0.6551436629
Object B,29,-0.4238559958,-0.42036016400000004,-0.25221609840000003
Object B,30,-0.3564071056,-0.4272058879,-0.4272058879
Object B,31,-0.0291644837,-0.3041547424,-0.18249284540000002
Object B,32,0.0491159388,-0.0796077418,-0.0796077418
Object B,33,0.3147244193,-0.1299562111,-0.07797372670000001
Object B,34,0.4305287433,0.5555750335,0.5555750335
Object B,35,0.7246299282,0.4042183971,0.2425310383
Object B,36,0.8513269455,0.6304502776,0.6304502776
Object B,37,0.8778782203000001,0.8883112361000001,0.5329867417
Object B,38,1.0075203433,0.8596077440000001,0.8596077440000001
Object B,39,0.8892371945,1.1978401136,0.7187040682
Object B,40,0.8402324874,0.5816611054,0.5816611054
Object B,41,0.9846697268000001,1.0380799007000001,0.6228479404
Object B,42,0.8712662576,0.863409694,0.863409694
Object B,43,0.7979002416000001,0.564281542,0.33856892520000004
Object B,44,0.8232316704,0.9278870025,0.9278870025
Object B,45,0.5065664339,0.47225716770000004,0.2833543006
Object B,46,0.1316076916,0.28596580180000003,0.28596580180000003
Object B,47,0.1364770543,0.3011778851,0.18070673110000002
Object B,48,-0.3059175223,0.1267296676,0.1267296676
Object B,49,-0.41263758970000003,-0.1453319998,-0.08719919990000001
Object C,0,-0.036918183800000004,0.0672947915,0.0672947915
Object C,1,0.174731413,0.0595738191,0.0595738191
Object C,2,0.4993843019,0.5277749346,0.5277749346
Object C,3,0.6301688465,0.566303163,0.566303163
Object C,4,0.7813692435,0.9196769937,0.9196769937
Object C,5,0.6797753804000001,0.8187252091,0.8187252091
Object C,6,0.9296064735,0.7844869978,0.7844869978
Object C,7,0.9116466391,0.634973848,0.634973848
Object C,8,1.0275660629,0.7109783835,0.7109783835
Object C,9,0.9640325919,1.0861084677,1.0861084677
Object C,10,1.0003153176,0.7625434661,0.7625434661
Object C,11,0.8402182253,0.7388549545,0.7388549545
Object C,12,0.7540959768000001,0.6348331691,0.6348331691
Object C,13,0.4688594621,0.4583460029,0.4583460029
Object C,14,0.2405435246,-0.1467124366,-0.1467124366
Object C,15,0.1001150387,0.13787075810000002,0.13787075810000002
Object C,16,-0.0600761848,0.04470202,0.04470202
Object C,17,-0.2176259285,-0.1999415111,-0.1999415111
Object C,18,-0.2165895482,-0.2787667826,-0.2787667826
Object C,19,-0.6160836061,-0.5966035729,-0.5966035729
Object C,20,-0.8523969954,-0.7725877262,-0.7725877262
Object C,21,-0.90617395,-1.4606925013,-1.4606925013
Object C,22,-0.9979616714,-0.6067792097,-0.6067792097
Object C,23,-0.9455428563,-0.8675241917000001,-0.8675241917000001
Object C,24,-1.1502443103,-1.2807260268,-1.2807260268
Object C,25,-0.9525980752000001,-1.0307887503,-1.0307887503
Object C,26,-0.8678040019000001,-0.7690556465,-0.7690556465
Object C,27,-0.7495463839000001,-0.7727671717,-0.7727671717
Object C,28,-0.6909982448,-1.0971351383,-1.0971351383
Object C,29,-0.4883943524,-0.0754957801,-0.0754957801
Object C,30,-0.4218215891,-0.4439297205,-0.4439297205
Object C,31,-0.13242139120000002,0.0716131512,0.0716131512
Object C,32,0.0622630572,-0.07614691230000001,-0.07614691230000001
Object C,33,0.3531463681,0.660421779,0.660421779
Object C,34,0.378495108,0.43576384570000004,0.43576384570000004
Object C,35,0.7351064089,0.8568751758,0.8568751758
Object C,36,0.9431163183000001,0.7340656451,0.7340656451
Object C,37,0.6917095933,0.9339386512000001,0.9339386512000001
Object C,38,1.0105455451,1.148509178,1.148509178
Object C,39,1.0662341489,1.3266033948,1.3266033948
Object C,40,0.9256145441,0.7999970321000001,0.7999970321000001
Object C,41,0.9010033752000001,0.8047979516,0.8047979516
Object C,42,0.8413108503000001,1.3020941899,1.3020941899
Object C,43,0.7046180099,0.4926148454,0.4926148454
Object C,44,0.554015896,0.5268259559,0.5268259559
Object C,45,0.2445181046,0.47189637710000004,0.47189637710000004
Object C,46,0.3381230706,0.3576680641,0.3576680641
Object C,47,0.1327372847,0.2493280206,0.2493280206
Object C,48,-0.2556632071,-0.335553013,-0.335553013
Object C,49,-0.513121562,-0.4391103845,-0.4391103845
